2-level
homogeneous many small
/work/kulagins/tree-scheduler/real_Trees/random_trees/large_node_weights
blabla
&& size_10000/random_tree_1 21742.080100 1482610
&& size_10000/random_tree_10 27618.074801 1092609
&& size_10000/random_tree_2 10102.761426 392062
&& size_10000/random_tree_3 18736.803674 341072
&& size_10000/random_tree_4 7315.672612 201298
&& size_10000/random_tree_5 39340.100125 1898588
&& size_10000/random_tree_6 24771.379843 3738133
&& size_10000/random_tree_7 10744.823683 337227
&& size_10000/random_tree_8 20109.864399 325140
&& size_10000/random_tree_9 24651.353896 1760176
&& size_2000/random_tree_1 28246.808774 176700
&& size_2000/random_tree_10 5143.838361 93215
&& size_2000/random_tree_2 12093.928335 184851
&& size_2000/random_tree_3 4582.805626 115995
&& size_2000/random_tree_4 6498.484542 64274
&& size_2000/random_tree_5 13232.562472 198691
&& size_2000/random_tree_6 15163.954524 108196
&& size_2000/random_tree_7 8618.052489 179664
&& size_2000/random_tree_8 10163.227772 107387
&& size_2000/random_tree_9 24543.903272 128432
&& size_20000/random_tree_1 17987.553751 1353528
&& size_20000/random_tree_2 6608.737083 685876
&& size_20000/random_tree_3 27623.308694 1522237
&& size_20000/random_tree_4 12402.172908 816563
&& size_20000/random_tree_5 9159.721351 569390
&& size_30000/random_tree_1 8618.540844 2438658
&& size_30000/random_tree_2 7531.554304 2576897
&& size_30000/random_tree_3 22952.813758 2545348
&& size_30000/random_tree_4 32567.458924 2340168
&& size_30000/random_tree_5 26065.857224 2085249
&& size_4000/random_tree_1 13141.340232 216090
&& size_4000/random_tree_10 11791.212191 387384
&& size_4000/random_tree_2 10848.770094 586207
&& size_4000/random_tree_3 17745.509824 521817
&& size_4000/random_tree_4 23473.646071 1583014
&& size_4000/random_tree_5 17778.686094 364596
&& size_4000/random_tree_6 9044.824164 332276
&& size_4000/random_tree_7 7017.642143 304774
&& size_4000/random_tree_8 10581.215760 158168
&& size_4000/random_tree_9 17709.725746 430486
&& size_50000/random_tree_1 48574.463287 7828650
&& size_50000/random_tree_2 18501.792173 4207282
&& size_50000/random_tree_3 14150.227970 8016552
&& size_50000/random_tree_4 25628.184076 6047147
&& size_50000/random_tree_5 12164.987070 6955487
&& size_50000/random_tree_5 12164.987070 6958952
/work/kulagins/tree-scheduler/real_Trees/random_trees/3_children
blabla
&& size_10000/random_tree_1 12120.355034 932719
&& size_10000/random_tree_2 31461.238391 819194
&& size_10000/random_tree_3 27016.450939 939832
&& size_15/random_tree_1 2245.123210 53
&& size_15000/random_tree_1 53471.968998 1663203
&& size_15000/random_tree_2 70261.758263 1369622
&& size_15000/random_tree_3 57335.066925 2041080
&& size_20/random_tree_1 4253.203671 67
&& size_20000/random_tree_1 36692.916247 3229807
&& size_20000/random_tree_2 20105.755964 2051369
&& size_20000/random_tree_3 27117.124698 2521529
&& size_25000/random_tree_1 52260.791509 13147001
&& size_25000/random_tree_2 34590.515524 4672010
&& size_25000/random_tree_3 36505.982576 3304279
&& size_5000/random_tree_1 21316.640006 1584402
&& size_5000/random_tree_2 25305.124944 816405
&& size_5000/random_tree_3 15950.193452 1639149
&& size_5000/random_tree_3 15950.193452 1638975
/work/kulagins/tree-scheduler/real_Trees/random_trees/large_edge_weights
blabla
&& size_10000/random_tree_1 44127.181498 4111434
&& size_10000/random_tree_10 41414.831497 3780804
&& size_10000/random_tree_2 100956.662615 3889428
&& size_10000/random_tree_3 78449.846845 3885695
&& size_10000/random_tree_4 42196.915277 4098374
&& size_10000/random_tree_5 58495.218543 3812295
&& size_10000/random_tree_6 54288.115134 3879041
&& size_10000/random_tree_7 53370.331800 3811762
&& size_10000/random_tree_8 43372.130703 3867739
&& size_10000/random_tree_9 51398.318707 4061216
&& size_2000/random_tree_1 18031.567080 162275
&& size_2000/random_tree_10 12087.452452 157863
&& size_2000/random_tree_2 16172.684381 147289
&& size_2000/random_tree_3 16165.084921 157146
&& size_2000/random_tree_4 17725.206795 154162
&& size_2000/random_tree_5 14568.807416 176037
&& size_2000/random_tree_6 20038.022009 158660
&& size_2000/random_tree_7 15500.065798 157439
&& size_2000/random_tree_8 15847.762558 154397
&& size_2000/random_tree_9 23150.139244 160774
&& size_20000/random_tree_1 175685.775135 15502817
&& size_20000/random_tree_2 99736.287109 16361946
&& size_20000/random_tree_3 163002.724383 15959843
&& size_20000/random_tree_4 63402.329863 16042835
&& size_20000/random_tree_5 71072.536651 15502602
